batch_num,loss,test_loss
1,5.826563,
2,5.027255,
3,5.6523542,
1,5.826563,
2,5.027255,
3,5.6523542,
4,6.1959877,
5,5.8656693,
6,5.826563,
7,5.027255,
8,5.6523542,
9,6.1959877,
10,5.8656693,
11,5.2479296,
12,6.19027,
